AGENCY_CD,SITE_NO,STATION_NM,STATION_IX,LAT_VA,LONG_VA,DEC_LAT_VA,DEC_LONG_VA,COORD_METH_CD,COORD_ACY_CD,COORD_DATUM_CD,DISTRICT_CD,LAND_NET_DS,MAP_NM,COUNTRY_CD,STATE_CD,COUNTY_CD,MAP_SCALE_FC,ALT_VA,ALT_METH_CD,ALT_ACY_VA,ALT_DATUM_CD,HUC_CD,AGENCY_USE_CD,BASIN_CD,SITE_TP_CD,TOPO_CD,DATA_TYPES_CD,INSTRUMENTS_CD,SITE_RMKS_TX,INVENTORY_DT,DRAIN_AREA_VA,CONTRIB_DRAIN_AREA_VA,TZ_CD,LOCAL_TIME_FG,GW_FILE_CD,CONSTRUCTION_DT,RELIABILITY_CD,AQFR_CD,NAT_AQFR_CD,SITE_USE_1_CD,SITE_USE_2_CD,SITE_USE_3_CD,WATER_USE_1_CD,WATER_USE_2_CD,WATER_USE_3_CD,NAT_WATER_USE_CD,AQFR_TYPE_CD,WELL_DEPTH_VA,HOLE_DEPTH_VA,DEPTH_SRC_CD,PROJECT_NO,SITE_WEB_CD,SITE_CN,SITE_CR,SITE_MN,SITE_MD,MCD_CD
CAX01,15015590,UNUK R NR STEWART BC,UNUKRNRSTEWARTBC,562105,1304130,56.3510546798,-130.693374925,M,F,NAD27     ,2, ,ISKUT RIVER BC,CA,96,0,250000,        , ,   ,          , ,O,  ,ST, ,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNI,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,CN STA 08DD001,        ,573,        ,AKST  ,Y,NNNNNNNNNNNNNNNNNNNN          ,        , ,        ,          , , , , , , ,  , ,        ,        , ,            ,Y,nwis    ,1987-10-22T00:10:00,nwis    ,2016-05-14T11:05:56,null
CAX01,15024098,SPATSIZI R NR MOUTH AB STIKINE R BC,SPATSIZIRNRMOUTHABSTIKINERBC,574013,1280612,57.6700992528,-128.1050485344,M,U,NAD27     ,2, ,SPATSIZI BC,CA,96,0,250000,        , ,   ,          , ,O,  ,ST, ,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNI,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,CN STA 08CA001,        ,1350,        ,AKST  ,Y,NNNNNNNNNNNNNNNNNNNN          ,        , ,        ,          , , , , , , ,  , ,        ,        , ,            ,Y,nwis    ,1987-10-22T00:10:00,nwis    ,2016-05-14T11:05:56,null
CAX01,15024100,STIKINE R BL SPATSIZI RIVER BC,STIKINERBLSPATSIZIRIVERBC,574359,1280630,57.732877863,-128.1100504407,M,U,NAD27     ,2, ,SPATSIZI BC,CA,96,0,250000,        , ,   ,          , ,O,  ,ST, ,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNI,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,CN STA 08CA002,        ,2940,        ,AKST  ,Y,NNNNNNNNNNNNNNNNNNNN          ,        , ,        ,          , , , , , , ,  , ,        ,        , ,            ,Y,nwis    ,1986-10-01T00:10:00,nwis    ,2016-05-14T11:05:56,null
CAX01,15024120,PITMAN R 3.5 MI AB MOUTH NEAR DEASE LAKE BC,PITMANR35MIABMOUTHNEARDEASELAKEBC,575855,1282546,57.9817586178,-128.4311723111,M,U,NAD27     ,2, ,SPATSIZI BC,CA,96,0,250000,        , ,   ,          , ,O,  ,ST, ,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNI,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,CN STA 08CA003,        ,1010,        ,AKST  ,Y,NNNNNNNNNNNNNNNNNNNN          ,        , ,        ,          , , , , , , ,  , ,        ,        , ,            ,Y,nwis    ,1987-10-22T00:10:00,nwis    ,2016-05-14T11:05:56,null
CAX01,15024200,KLAPPAN R NR TELEGRAPH C BC,KLAPPANRNRTELEGRAPHCBC,575400,1294214,57.8997601176,-129.7056165694,M,U,NAD27     ,2, ,SPATSIZI BC,CA,96,0,250000,        , ,   ,          , ,O,  ,ST, ,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNI,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,CN STA 08CC001,        ,1370,        ,AKST  ,Y,NNNNNNNNNNNNNNNNNNNN          ,        , ,        ,          , , , , , , ,  , ,        ,        , ,            ,Y,nwis    ,1986-03-14T00:03:00,nwis    ,2016-05-14T11:05:56,null
CAX01,15024300,STIKINE R AB GRAND CANYON NR TELEGRAPH C BC,STIKINERABGRANDCANYONNRTELEGRAPHCBC,580238,1295645,58.0436433343,-129.947563149,M,U,NAD27     ,2, ,CRY LAKE BC,CA,96,0,250000,        , ,   ,          , ,O,  ,ST, ,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNI,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,CN STA 08CB001,        ,7190,        ,AKST  ,Y,NNNNNNNNNNNNNNNNNNNN          ,        , ,        ,          , , , , , , ,  , ,        ,        , ,            ,Y,nwis    ,1986-03-14T00:03:00,nwis    ,2016-05-14T11:05:56,null
CAX01,15024400,TANZILLA R NR TELEGRAPH C BC,TANZILLARNRTELEGRAPHCBC                           ,581737,1303044,58.2933530958,-130.5139533977,M,U,NAD27     ,2, ,DEASE LAKE BC,CA,96,0,250000,        , ,   ,          , ,O,  ,ST, ,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNI,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,CN STA 08CB002,        ,618,        ,AKST  ,Y,NNNNNNNNNNNNNNNNNNNN          ,        , ,        ,          , , , , , , ,  , ,        ,        , ,            ,Y,nwis    ,1986-03-14T00:03:00,nwis    ,2016-05-14T11:05:56,null
CAX01,15024500,TUYA R NR TELEGRAPH C BC,TUYARNRTELEGRAPHCBC,580420,1304927,58.0719473784,-130.8258868584,M,U,NAD27     ,2, ,DEASE LAKE BC,CA,96,0,250000,        , ,   ,          , ,O,  ,ST, ,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNI,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,CN STA 08CD001,        ,1370,        ,AKST  ,Y,NNNNNNNNNNNNNNNNNNNN          ,        , ,        ,          , , , , , , ,  , ,        ,        , ,            ,Y,nwis    ,1986-03-14T00:03:00,nwis    ,2016-05-14T11:05:56,null
CAX01,15024600,STIKINE R AT TELEGRAPH C BC,STIKINERATTELEGRAPHCBC,575403,1310916,57.9005445367,-131.1561552962,M,U,NAD27     ,2, ,TELEGRAPH CREEK BC,CA,96,0,250000,        , ,   ,          , ,O,  ,ST, ,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNI,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,CN STA 08CE001,        ,11190,        ,AKST  ,Y,NNNNNNNNNNNNNNNNNNNN          ,        , ,        ,          , , , , , , ,  , ,        ,        , ,            ,Y,nwis    ,1986-03-14T00:03:00,nwis    ,2016-05-14T11:05:56,null
USGS ,15242000,KASILOF R NR KASILOF AK,KASILOFRNRKASILOFAK,601905,1511535,60.3174767271,-151.2619378355,M,F,NAD27     ,2,  NESWS30 T004N R011W S,KENAI B-4,US,2,122,63360,23.37,L,0.1,NGVD29    ,19020301,A,  ,ST, ,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNI,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN, ,        ,738,        ,AKST  ,Y,NNNNNNNNNNNNNNNNNNNN          ,        , ,        ,          , , , , , , ,  , ,        ,        , ,            ,Y,nwis    ,1986-03-14T00:03:00,dlong   ,2016-01-15T23:01:23,null
USGS ,565542158071001,SC03805601BAAB1S,SC03805601BAAB1S,565542,1580710,56.9275649459,-158.121513561,M,F,NAD27     ,2,NENENWS01 T038S R056W S,CHIGNIK D-1,US,2,164,63360,1075,M,50,NGVD29    ,19020702,I,  ,SP,S,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN, ,        ,        ,        ,AKST  ,Y,YYNNNNNNNNNNNNNNNNNN          ,        ,C,        ,          ,U, , ,U, , ,  , ,        ,        , ,            ,Y,nwis    ,1979-06-23T00:06:00,dlong   ,2016-08-03T19:08:40,null
USGS ,565644154100701,SC03703128ABDC1  002,SC03703128ABDC1002,565644,1541007,56.9447562389,-154.1709151531,M,F,NAD27     ,2,SENWNES28 T037S R031W S,TRINITY ISLANDS D-1,US,2,150,63360,25,M,25,NGVD29    ,19020701,I,  ,GW,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN, ,        ,        ,        ,AKST  ,Y,NYYNNNNNNNNNNNNNNNNN          ,19630101,U,        ,          ,W, , ,P, , ,WS, ,25,25, ,            ,Y,nwis    ,1979-11-24T00:11:00,dlong   ,2015-07-07T21:07:26,null
USGS ,565644154100702,SC03703128ABDC2  002,SC03703128ABDC2002,565644,1541007,56.9447562389,-154.1709151531,M,F,NAD27     ,2,SENWNES28 T037S R031W S,TRINITY ISLANDS D-1,US,2,150,63360,25,M,25,NGVD29    ,19020701,I,  ,GW,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN, ,        ,        ,        ,AKST  ,Y,NYNNNNNNNNNNNNNNNNNN          ,        ,U,        ,          ,W, , ,P, , ,WS, ,8,8, ,            ,Y,nwis    ,1979-11-24T00:11:00,dlong   ,2015-07-07T21:07:26,null
USGS ,565645154100801,SC03703128ABDD1  001,SC03703128ABDD1001,565645,1541008,56.9450340222,-154.1711928903,M,F,NAD27     ,2,SENWNES28 T037S R031W S,TRINITY ISLANDS D-1,US,2,150,63360,25,M,25,NGVD29    ,19020701,I,  ,GW,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN, ,        ,        ,        ,AKST  ,Y,YYYNNNNNNNNNNNNNNNNN          ,19631101,U,        ,          ,W, , ,P, , ,WS, ,16,20, ,            ,Y,nwis    ,1979-11-24T00:11:00,dlong   ,2015-07-07T21:07:26,null
USGS ,565645154100802,SC03703128ABDD2  001,SC03703128ABDD2001                                ,565645,1541008,56.9450340222,-154.1711928903,M,F,NAD27     ,2,SENWNES28 T037S R031W S,TRINITY ISLANDS D-1,US,2,150,63360,25,M,25,NGVD29    ,19020701,O,  ,GW,F,                              ,                              , ,        ,        ,        ,AKST  ,Y,YYNNNNNNNNNNNNNNNNNN          ,19631029,U,        ,          ,U, , ,U, , ,  , ,53,53, ,            ,Y,nwis    ,1978-06-17T00:06:00,nwis    ,2004-09-29T17:09:32,null
USGS ,565700154095500,UNNAMED LK AT AKHIOK KODIAK AK,UNNAMEDLKATAKHIOKKODIAKAK                         ,565700,1540955,56.9491999432,-154.1675824145,M,U,NAD27     ,2, , ,US,2,150,       ,        , ,   ,          ,19020701,A,  ,LK, ,                              ,                              , ,        ,        ,        ,AKST  ,Y,NNNNNNNNNNNNNNNNNNNN          ,        , ,        ,          , , , , , , ,  , ,        ,        , ,            ,Y,nwis    ,1986-03-14T00:03:00,nwis    ,2004-09-29T17:09:32,null
USGS ,565914135064000,GREEN LK OUTLET BL DAM NR SITKA AK,GREENLKOUTLETBLDAMNRSITKAAK,565914,1350640,56.9868572167,-135.1128746317,M,U,NAD27     ,2, , ,US,2,220,       ,        , ,   ,          ,19010212,O,  ,ST, ,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN, ,        ,        ,        ,AKST  ,Y,NNNNNNNNNNNNNNNNNNNN          ,        , ,        ,          , , , , , , ,  , ,        ,        , ,            ,Y,nwis    ,1986-03-14T00:03:00,dlong   ,2014-09-30T22:09:06,null
USGS ,565918135054500,GREEN LK (MIDDLE) NR SITKA AK,GREENLKMIDDLENRSITKAAK,565918,1350545,56.987968861,-135.0975963964,M,U,NAD27     ,2, , ,US,2,220,       ,        , ,   ,          ,19010212,A,  ,LK, ,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN, ,        ,        ,        ,AKST  ,Y,NNNNNNNNNNNNNNNNNNNN          ,        , ,        ,          , , , , , , ,  , ,        ,        , ,            ,Y,nwis    ,1986-03-14T00:03:00,dlong   ,2016-01-14T01:01:50,null
USGS ,570144132442200,SWAN LK AT OUTLET NR PETERSBURG AK,SWANLKATOUTLETNRPETERSBURGAK,570144,1324422,57.0285518104,-132.7411587477,M,U,NAD27     ,2, , ,US,2,195,       ,        , ,   ,          ,19010208,A,  ,LK, ,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN, ,        ,        ,        ,AKST  ,Y,NNNNNNNNNNNNNNNNNNNN          ,        , ,        ,          , , , , , , ,  , ,        ,        , ,            ,Y,nwis    ,1986-03-14T00:03:00,dlong   ,2016-01-14T01:01:47,null
USGS ,610922149500001,SB01200305DADD1  014,SB01200305DADD1014                                ,610922,1495000,61.1555584096,-149.8355310294,M,F,NAD27     ,2,SENESES05 T012N R003W S,ANCHORAGE & VICINITY,US,2,20,24000,176,M,1,NGVD29    ,19020401,O,  ,GW,S,                              ,                              , ,        ,        ,        ,AKST  ,Y,YYYYNNNNNNNNNNNNNNNN          ,19580222,U,        ,          ,W, , ,H, , ,DO, ,65,65, ,            ,Y,nwis    ,1979-03-08T00:03:00,nwis    ,2004-09-29T17:09:53,null